symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,holding_periods
SMRTG,2022-08-12 07:30:00+00:00,2022-08-12 13:30:00+00:00,8.939393997192383,8.585858345031738,460,-178.74963214874242,-0.043382195246718706,SIGNAL,0.536879760066222,6.0
SAHOL,2022-08-12 07:30:00+00:00,2022-08-16 10:30:00+00:00,24.07999992370605,23.76000022888184,230,-95.60632987975896,-0.017227989885942686,TIME_EXIT,0.6855110463480851,21.0
KONTR,2022-08-12 07:30:00+00:00,2022-08-16 10:30:00+00:00,15.521042823791504,15.7578763961792,312,54.37402899169956,0.011205940230044729,TIME_EXIT,0.5503227199625538,21.0
EKGYO,2022-08-12 07:30:00+00:00,2022-08-16 10:30:00+00:00,3.660000085830689,3.559999942779541,1190,-136.18377029895873,-0.031205387155915504,TIME_EXIT,0.5454133499308724,21.0
ALGYO,2022-08-12 07:30:00+00:00,2022-08-16 10:30:00+00:00,8.319999694824219,8.35111141204834,467,-1.0416458301542662,-0.0002675544429696058,TIME_EXIT,0.5321617856872587,21.0
MAVI,2022-08-12 07:30:00+00:00,2022-08-16 10:30:00+00:00,8.475000381469727,8.131250381469727,434,-163.60172566223127,-0.04439056807427662,TIME_EXIT,0.5289106740368157,21.0
HALKB,2022-08-12 07:30:00+00:00,2022-08-16 10:30:00+00:00,5.639999866485596,5.579999923706055,616,-50.78300449371318,-0.01458783573128664,TIME_EXIT,0.5177917364552984,21.0
ISCTR,2022-08-12 07:30:00+00:00,2022-08-16 10:30:00+00:00,2.4840247631073,2.452024459838867,1302,-54.51786703205107,-0.016823030384736728,TIME_EXIT,0.48457950384394793,21.0
SKBNK,2022-08-12 13:30:00+00:00,2022-08-17 06:30:00+00:00,2.549999952316284,3.0799999237060547,1367,709.1175412287716,0.20302140086020218,TAKE_PROFIT,0.6787130012441701,20.0
AGHOL,2022-08-16 10:30:00+00:00,2022-08-18 10:30:00+00:00,73.8499984741211,66.5999984741211,45,-338.89049972534167,-0.1017720841255734,STOP_LOSS,0.45151567034580964,18.0
EGEEN,2022-08-16 10:30:00+00:00,2022-08-18 13:30:00+00:00,2420.39990234375,2293.199951171875,1,-136.62715087890592,-0.056335501361936005,TIME_EXIT,0.577483889134366,21.0
SNGYO,2022-08-16 10:30:00+00:00,2022-08-18 13:30:00+00:00,1.496250033378601,1.5150001049041748,2948,37.52088004207599,0.008489334423936958,TIME_EXIT,0.550686129887775,21.0
DOAS,2022-08-16 10:30:00+00:00,2022-08-18 13:30:00+00:00,92.25,93.5999984741211,41,40.11023756408713,0.010583694152863452,TIME_EXIT,0.4983364005266893,21.0
KONYA,2022-08-16 10:30:00+00:00,2022-08-18 13:30:00+00:00,1339.5,1279.0,2,-131.47400000000016,-0.048977818904930026,TIME_EXIT,0.4496648625765007,21.0
ISGYO,2022-08-16 10:30:00+00:00,2022-08-19 07:30:00+00:00,17.469999313354492,17.790000915527344,205,51.14372835159293,0.014252068931443283,TIME_EXIT,0.46722125334999853,24.0
HALKB,2022-08-16 10:30:00+00:00,2022-08-22 06:30:00+00:00,5.579999923706055,5.670000076293945,738,49.81511260986281,0.012072656391661605,TIME_EXIT,0.5252938007062561,32.0
AKBNK,2022-08-18 10:30:00+00:00,2022-08-22 13:30:00+00:00,10.93000030517578,10.729999542236328,332,-80.78249319457973,-0.022217299695260363,TIME_EXIT,0.6330229267196796,21.0
THYAO,2022-08-18 13:30:00+00:00,2022-08-23 07:30:00+00:00,69.6500015258789,68.3499984741211,60,-94.56018310546824,-0.02258230154523732,TIME_EXIT,0.6456813448238065,21.0
