start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-01,2020-11-11,0.2274958773298626,91,97,22.74958773298626
2020-11-17,2020-11-19,0.050632922096439055,2,2,5.0632922096439055
2020-11-23,2020-12-24,0.07350685562079609,23,17,7.350685562079609
2020-12-25,2020-12-29,0.00609752841043071,2,4,0.609752841043071
2021-01-05,2021-01-06,0.012675968108434467,1,1,1.2675968108434468
2021-01-08,2021-12-08,0.362549697274047,227,260,36.2549697274047
2021-12-10,2021-12-13,0.020215664135091026,1,3,2.0215664135091025
2021-12-15,2021-12-16,0.005056805328917459,1,1,0.505680532891746
2021-12-17,2022-04-07,0.16058399096987416,79,30,16.058399096987415
2022-04-12,2022-04-14,0.017486388891322965,2,1,1.7486388891322966
2022-04-19,2022-08-10,0.18238986133113227,74,36,18.238986133113226
2022-08-12,2022-08-15,0.0069514298571395645,1,3,0.6951429857139565
2022-08-18,2022-08-23,0.06277644047486176,3,4,6.277644047486176
2022-08-24,2022-08-25,0.03571432757757728,1,1,3.5714327577577283
2022-08-29,2022-09-02,0.021702785557585622,3,2,2.1702785557585624
2022-09-08,2022-09-09,0.034416803318993286,1,1,3.4416803318993288
2022-09-13,2022-11-23,0.36836091031050466,51,65,36.836091031050465
2022-11-24,2022-12-15,0.10663631970179356,15,8,10.663631970179356
2022-12-20,2023-05-12,0.3317072986614904,97,93,33.17072986614904
2023-05-15,2023-06-21,0.2768275117887399,26,28,27.68275117887399
2023-06-22,2023-06-23,0.006214362853418442,1,1,0.6214362853418443
2023-06-27,2023-07-03,0.010773725752316221,1,6,1.077372575231622
2023-07-05,2023-07-11,0.03981040314067411,4,4,3.9810403140674113
2023-07-18,2023-07-27,0.07109006072322059,7,9,7.109006072322059
2023-07-31,2023-08-09,0.05252100900204652,7,8,5.252100900204653
2023-08-10,2023-09-05,0.11175705134566574,17,14,11.175705134566574
2023-09-06,2023-09-07,0.005069702526734323,1,1,0.5069702526734323
2023-09-08,2023-09-29,0.12814225289472814,15,14,12.814225289472814
2023-10-03,2023-12-01,0.18793496607018279,43,18,18.793496607018277
2023-12-06,2023-12-12,0.045404861499144036,4,1,4.540486149914404
2023-12-13,2023-12-14,0.012352423080789758,1,1,1.2352423080789758
2023-12-19,2023-12-20,0.013198068528984924,1,1,1.3198068528984923
2023-12-21,2024-01-08,0.11517280862890275,11,5,11.517280862890274
2024-01-09,2024-01-10,0.014836815258550498,1,1,1.4836815258550498
2024-01-15,2024-02-21,0.11789174920683285,27,29,11.789174920683285
2024-02-22,2024-03-12,0.11034479016616183,13,6,11.034479016616183
2024-03-13,2024-03-21,0.09273643033857523,6,6,9.273643033857523
2024-04-03,2024-04-04,0.001217005486214852,1,1,0.1217005486214852
2024-04-08,2024-04-15,0.0026954495228303115,1,7,0.26954495228303116
2024-04-16,2024-04-18,0.04366443027147457,2,2,4.366443027147457
2024-04-22,2024-05-17,0.10400001797026147,17,4,10.400001797026146
2024-05-22,2024-05-27,0.01633259085686201,3,5,1.633259085686201
2024-05-29,2025-03-03,0.3352435445238868,191,118,33.524354452388685
2025-03-04,2025-03-05,0.011643830420612806,1,1,1.1643830420612806
2025-03-11,2025-03-13,0.027063636020143424,2,2,2.7063636020143425
