start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-03,2020-07-06,0.019298186440120758,1,3,1.9298186440120757
2020-07-08,2020-09-28,0.24120598672359952,55,53,24.120598672359954
2020-10-07,2020-10-12,0.04123707645232143,3,4,4.123707645232143
2020-10-13,2020-10-14,0.02209132679784898,1,1,2.209132679784898
2020-10-15,2020-11-06,0.12729846350759985,15,4,12.729846350759985
2020-11-09,2020-11-10,0.016759761725412537,1,1,1.6759761725412536
2020-11-13,2020-12-03,0.05434784190089065,14,3,5.434784190089065
2020-12-04,2020-12-31,0.055405453046774716,19,10,5.5405453046774715
2021-01-05,2021-01-06,0.01785718831015267,1,1,1.785718831015267
2021-01-11,2021-01-12,0.0036675081401341906,1,1,0.3667508140134191
2021-01-13,2021-01-14,0.01579570831086004,1,1,1.5795708310860042
2021-01-15,2021-01-18,0.013126451169833974,1,3,1.3126451169833975
2021-01-19,2021-01-20,0.004756238577028949,1,1,0.47562385770289495
2021-01-27,2021-02-04,0.09151574350851939,6,8,9.15157435085194
2021-02-09,2021-04-05,0.15121140637415886,39,13,15.121140637415886
2021-04-08,2021-05-10,0.111910524929069,21,18,11.1910524929069
2021-05-17,2021-05-18,0.014158014739980138,1,1,1.4158014739980138
2021-05-20,2021-06-02,0.0712188216015183,9,8,7.12188216015183
2021-06-03,2021-08-18,0.1767713186427728,49,47,17.67713186427728
2021-08-19,2021-08-25,0.025880638302160464,4,6,2.5880638302160466
2021-08-31,2021-09-09,0.029391683983688386,7,1,2.939168398368839
2021-09-13,2021-10-28,0.1499330640256636,33,21,14.99330640256636
2021-11-01,2021-11-16,0.06249997572851666,11,7,6.249997572851666
2021-11-17,2021-11-18,0.0051746395187513465,1,1,0.5174639518751346
2021-11-24,2021-11-25,0.004390775727219892,1,1,0.4390775727219892
2021-11-26,2021-12-02,0.03162486252829051,4,3,3.1624862528290514
2021-12-03,2021-12-06,0.004352553554225259,1,3,0.4352553554225259
2021-12-08,2021-12-10,0.01352758946127161,2,2,1.3527589461271612
2021-12-15,2021-12-16,0.03846150606126041,1,1,3.846150606126041
2021-12-17,2022-01-05,0.13942307647307306,13,15,13.942307647307306
2022-01-07,2022-01-10,0.006457536326279922,1,3,0.6457536326279922
2022-01-11,2022-01-13,0.0219177892215002,2,2,2.19177892215002
2022-01-18,2022-01-19,0.0327868976379221,1,1,3.27868976379221
2022-01-20,2022-01-31,0.08754209057690578,7,7,8.754209057690577
2022-02-01,2022-02-15,0.040767407177309534,10,12,4.076740717730953
2022-02-17,2022-02-21,0.014717241541555926,2,4,1.4717241541555925
2022-02-23,2022-03-24,0.1012947455366877,21,28,10.12947455366877
2022-04-01,2022-04-05,0.031468519567603805,2,4,3.1468519567603805
2022-04-11,2022-04-15,0.01001250680058424,4,4,1.001250680058424
2022-04-21,2022-04-22,0.0018017855789801583,1,1,0.18017855789801582
2022-04-25,2022-05-06,0.047337180969579805,6,9,4.733718096957981
2022-05-09,2022-05-10,0.0075844917974763944,1,1,0.7584491797476395
2022-05-11,2022-05-13,0.03876854907367017,2,1,3.876854907367017
2022-05-16,2022-05-17,0.0050618216316416905,1,1,0.5061821631641691
2022-05-23,2022-05-26,0.024717948471163178,3,3,2.4717948471163176
2022-06-06,2022-06-17,0.07710844409728684,9,4,7.710844409728685
2022-06-20,2022-06-22,0.021060805059987423,2,1,2.1060805059987424
2022-06-24,2022-07-07,0.07739465853634703,9,7,7.7394658536347025
2022-07-08,2022-07-13,0.009125467347730103,1,5,0.9125467347730103
2022-07-19,2022-07-20,0.014035075015633364,1,1,1.4035075015633365
2022-07-21,2022-07-26,0.03041020471960863,3,4,3.041020471960863
2022-07-27,2022-07-28,0.01617249114895133,1,1,1.6172491148951331
2022-08-02,2022-08-03,0.007931254768765612,1,1,0.7931254768765612
2022-08-04,2022-08-16,0.03538662868634802,8,5,3.5386628686348023
2022-08-18,2022-09-22,0.1343749761581421,24,9,13.437497615814209
2022-09-26,2022-09-30,0.046090958944597415,4,2,4.609095894459742
2022-10-05,2022-10-12,0.05862062420852059,5,2,5.862062420852059
2022-10-14,2022-10-17,0.012087411720839002,1,3,1.2087411720839003
2022-10-18,2022-11-01,0.08390016045949356,10,4,8.390016045949356
2022-11-03,2022-11-04,0.012264594287394903,1,1,1.2264594287394903
2022-11-07,2022-11-09,0.029361724853515625,2,1,2.9361724853515625
2022-11-10,2022-11-14,0.03442484069394821,2,3,3.442484069394821
2022-11-16,2022-11-25,0.0863952056792395,7,8,8.63952056792395
