start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-03,2020-07-13,0.030137058171078264,6,10,3.0137058171078266
2020-07-16,2020-07-17,0.010846769172053291,1,1,1.084676917205329
2020-07-21,2020-07-23,0.017648873548024763,2,1,1.7648873548024764
2020-07-28,2020-10-20,0.28693579826031623,58,75,28.693579826031623
2020-10-22,2020-10-23,0.0009108887073363821,1,1,0.09108887073363821
2020-10-26,2020-11-02,0.10452658670186156,4,7,10.452658670186157
2020-11-05,2020-11-09,0.05625506863338734,2,4,5.625506863338734
2020-11-11,2020-11-20,0.128622262469583,7,8,12.8622262469583
2020-11-25,2020-12-02,0.11659961588969513,5,2,11.659961588969512
2020-12-03,2020-12-28,0.10582196823293394,17,4,10.582196823293394
2020-12-29,2021-01-08,0.04367331708359454,7,9,4.367331708359454
2021-01-11,2021-01-15,0.025462518350273296,4,3,2.5462518350273298
2021-01-18,2021-12-06,0.371266094530679,219,61,37.1266094530679
2021-12-09,2021-12-10,0.016405041212389983,1,1,1.6405041212389984
2021-12-13,2021-12-14,0.006766376452090825,1,1,0.6766376452090825
2021-12-16,2022-06-20,0.24205606374470248,128,146,24.20560637447025
2022-06-23,2022-06-24,0.023923864911201614,1,1,2.3923864911201616
2022-06-27,2022-10-07,0.1559490028935294,70,71,15.594900289352939
2022-10-12,2022-10-14,0.06132627700297015,2,1,6.132627700297015
2022-10-17,2022-10-18,0.012740038394636258,1,1,1.2740038394636257
2022-10-19,2022-10-24,0.03917497063844729,3,4,3.917497063844729
2022-10-25,2022-10-26,0.009167955564594014,1,1,0.9167955564594014
2022-10-27,2022-10-31,0.024565619190876943,2,3,2.456561919087694
2022-11-01,2022-11-18,0.04999995814661333,13,8,4.999995814661333
2022-11-28,2022-11-29,0.045070359201867735,1,1,4.507035920186773
2022-12-01,2022-12-21,0.13971480239687217,14,14,13.971480239687217
2022-12-28,2023-01-02,0.06369585011788191,3,5,6.369585011788191
2023-01-05,2023-08-18,0.4215730097299137,151,101,42.157300972991365
2023-08-24,2023-09-06,0.05772723273021299,8,13,5.772723273021299
2023-09-07,2023-09-12,0.03769117327143287,3,4,3.769117327143287
2023-09-13,2023-09-14,0.03281086026182804,1,1,3.281086026182804
2023-09-18,2023-10-02,0.11204817912341325,10,12,11.204817912341325
2023-10-04,2023-10-10,0.04309343439506842,4,6,4.309343439506843
2023-10-13,2023-11-27,0.1480576361921394,31,27,14.805763619213941
2023-12-08,2024-02-09,0.28666552448675814,44,45,28.666552448675812
2024-02-13,2024-02-15,0.019468400741581876,2,2,1.9468400741581875
2024-02-16,2024-02-28,0.05350064318852598,8,9,5.350064318852598
2024-03-04,2024-04-30,0.18162243054821414,36,26,18.162243054821413
