start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-01,2020-07-02,0.01951216166116561,1,1,1.9512161661165608
2020-07-03,2020-07-06,0.019230735799594938,1,3,1.9230735799594938
2020-07-09,2020-07-13,0.057268640079310734,2,3,5.7268640079310735
2020-07-16,2020-07-22,0.03404260751237418,4,1,3.404260751237418
2020-07-23,2021-01-05,0.29826931582307775,114,67,29.826931582307775
2021-01-08,2021-02-08,0.09615392473212743,21,12,9.615392473212744
2021-02-09,2021-12-14,0.33787351952006556,209,69,33.78735195200655
2021-12-15,2021-12-16,0.029739818298184544,1,1,2.9739818298184546
2021-12-17,2022-04-14,0.2815884755298289,84,49,28.15884755298289
2022-04-15,2022-04-21,0.026845676594257628,4,3,2.684567659425763
2022-04-22,2022-07-19,0.15735823029326723,55,22,15.735823029326724
2022-07-20,2022-07-21,0.00331124717411793,1,1,0.331124717411793
2022-07-28,2022-08-04,0.04347827454404266,5,2,4.347827454404266
2022-08-08,2022-08-10,0.017142800099189975,2,2,1.7142800099189976
2022-08-12,2022-08-17,0.035616458500575696,3,2,3.5616458500575696
2022-08-18,2022-08-22,0.03191485565104009,2,4,3.191485565104009
2022-08-24,2022-08-29,0.04282114423258507,3,5,4.282114423258506
2022-08-31,2022-09-02,0.007444206304506069,2,1,0.7444206304506069
2022-09-13,2022-11-10,0.28598127373649407,42,42,28.598127373649408
2022-11-11,2022-11-14,0.01486983809187039,1,3,1.4869838091870389
2022-11-15,2022-11-21,0.03710248487880499,4,4,3.710248487880499
2022-11-23,2022-11-24,0.0016420721688597962,1,1,0.1642072168859796
2022-11-30,2022-12-05,0.036363658253580115,3,5,3.6363658253580113
2022-12-06,2022-12-09,0.04814306514191338,3,2,4.814306514191339
2022-12-13,2022-12-14,0.003778356888594593,1,1,0.3778356888594593
2022-12-15,2022-12-16,0.008804970717082283,1,1,0.8804970717082283
2022-12-20,2022-12-22,0.028985472680336587,2,1,2.8985472680336586
2022-12-27,2022-12-29,0.045614089740115264,2,1,4.561408974011527
2023-01-03,2023-09-05,0.425344712601625,164,123,42.5344712601625
2023-09-06,2023-09-07,0.021186429246899112,1,1,2.1186429246899112
2023-09-08,2024-01-25,0.32500001530443895,98,85,32.500001530443896
2024-01-29,2024-02-06,0.03498538388829502,6,4,3.4985383888295023
2024-02-07,2024-02-09,0.014354082682147856,2,2,1.4354082682147857
2024-02-12,2024-02-13,0.0009533396721239838,1,1,0.09533396721239838
2024-02-14,2024-02-20,0.028944991310393235,4,6,2.8944991310393235
2024-02-27,2024-07-18,0.26655208190070795,92,38,26.655208190070795
2024-07-22,2024-07-25,0.04211385796265666,3,2,4.211385796265666
2024-07-29,2024-09-03,0.14193546858245343,25,29,14.193546858245343
2024-09-06,2024-12-03,0.25590551849111925,61,29,25.590551849111925
2024-12-05,2024-12-13,0.04518948699374251,6,7,4.518948699374251
2024-12-16,2024-12-25,0.06268220315115475,7,2,6.2682203151154745
2024-12-26,2024-12-27,0.02953892620172914,1,1,2.953892620172914
2024-12-31,2025-01-16,0.04033970423183605,11,8,4.033970423183605
2025-01-21,2025-01-28,0.033602164870616597,5,1,3.3602164870616598
2025-01-29,2025-01-31,0.015141509668166372,2,1,1.5141509668166373
2025-02-03,2025-03-04,0.11853310351697667,21,7,11.853310351697667
2025-03-06,2025-03-13,0.024250139874962315,5,3,2.4250139874962313
2025-03-14,2025-03-17,0.004394274524748708,1,3,0.4394274524748708
2025-03-18,2025-06-24,0.3078817835007101,63,67,30.78817835007101
