start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-06-30,2020-11-11,0.2397179071813378,92,97,23.971790718133782
2020-11-17,2020-11-19,0.05698336292894265,2,2,5.698336292894265
2020-11-20,2020-12-14,0.07878147909405762,16,14,7.8781479094057625
2020-12-15,2020-12-16,0.0041279068269698925,1,1,0.41279068269698926
2020-12-21,2020-12-22,0.009146287323371978,1,1,0.9146287323371978
2020-12-23,2020-12-30,0.019880836362155062,5,5,1.988083636215506
2021-01-04,2021-01-07,0.03629418569026773,3,2,3.629418569026773
2021-01-11,2021-11-05,0.3799814785681952,203,219,37.99814785681952
2021-11-09,2021-11-15,0.01855287955069143,4,6,1.855287955069143
2021-11-17,2021-11-18,0.014084484469083211,1,1,1.4084484469083212
2021-11-19,2021-12-16,0.06862741591397055,19,17,6.862741591397055
2021-12-17,2022-04-01,0.11281226577195641,75,36,11.28122657719564
2022-04-05,2022-04-08,0.017418862531719065,3,2,1.7418862531719066
2022-04-12,2022-04-15,0.017291097145442504,3,2,1.7291097145442504
2022-04-19,2022-04-21,0.016643510375990603,2,2,1.6643510375990604
2022-04-22,2022-04-25,0.02070393680239175,1,3,2.070393680239175
2022-04-27,2022-04-28,0.0006674957179618689,1,1,0.06674957179618689
2022-05-11,2022-05-18,0.0013341687594770777,5,2,0.13341687594770776
2022-05-23,2022-06-06,0.10652961655227539,10,10,10.65296165522754
2022-06-07,2022-08-10,0.16542746978947903,43,36,16.542746978947903
2022-08-12,2022-08-15,0.01770895829111764,1,3,1.770895829111764
2022-08-18,2022-08-23,0.037700200637664445,3,4,3.7700200637664447
2022-08-26,2022-09-06,0.11801250987882797,6,5,11.801250987882797
2022-09-07,2022-09-09,0.08037093614307093,2,1,8.037093614307093
2022-09-14,2022-12-19,0.37043294795531223,68,87,37.043294795531224
2022-12-20,2023-05-12,0.377925372590212,97,93,37.7925372590212
2023-05-15,2023-07-04,0.287009018664554,32,41,28.700901866455403
2023-07-05,2023-07-11,0.026580057288282385,4,4,2.6580057288282384
2023-07-14,2023-07-27,0.0941771846147929,9,9,9.41771846147929
2023-08-01,2023-08-02,0.026879337589877334,1,1,2.6879337589877332
2023-08-07,2023-08-08,0.0042553415390652605,1,1,0.42553415390652605
2023-08-15,2023-12-01,0.2010743403837144,77,42,20.10743403837144
2023-12-07,2023-12-14,0.05916661176673777,5,3,5.916661176673777
2023-12-15,2023-12-20,0.030400031450046917,3,1,3.040003145004692
2023-12-21,2024-01-09,0.10800002271959558,12,13,10.800002271959558
2024-01-15,2024-02-20,0.11135700859804507,26,28,11.135700859804507
2024-02-22,2024-03-22,0.13742686375475743,21,16,13.742686375475744
2024-03-26,2024-03-28,0.0036258637154696037,2,2,0.3625863715469604
2024-04-03,2024-04-04,0.007132667772947037,1,1,0.7132667772947037
2024-04-08,2024-04-15,0.0020188629840891706,1,7,0.20188629840891706
2024-04-16,2024-04-19,0.05361930404579846,3,3,5.361930404579846
2024-04-22,2024-04-24,0.028589581794771023,1,2,2.8589581794771024
2024-04-25,2024-04-26,0.007528212008724888,1,1,0.7528212008724888
2024-05-06,2024-05-07,0.007651488167567555,1,1,0.7651488167567555
2024-05-08,2024-05-09,0.009786971664419428,1,1,0.9786971664419428
2024-05-10,2024-05-14,0.03417370366115196,2,1,3.417370366115196
2024-05-15,2024-05-17,0.023888905843098957,2,2,2.3888905843098955
2024-05-22,2024-05-30,0.026653548828198707,6,3,2.6653548828198708
2024-06-04,2024-06-20,0.09346226214080099,9,10,9.3462262140801
2024-06-25,2024-06-27,0.009640652838138147,2,1,0.9640652838138147
2024-06-28,2024-07-03,0.05141388309256828,3,2,5.141388309256828
2024-07-09,2024-07-11,0.00888534795153204,2,2,0.8885347951532041
2024-07-17,2024-12-25,0.2644845410893146,113,50,26.448454108931458
2024-12-26,2025-01-20,0.0667667015913211,16,20,6.67667015913211
2025-01-21,2025-01-22,0.0014925145391208022,1,1,0.14925145391208022
2025-01-23,2025-03-05,0.09941947949370497,29,28,9.941947949370498
2025-03-06,2025-03-07,0.005017899270553315,1,1,0.5017899270553315
2025-03-10,2025-03-12,0.037350162233516906,2,1,3.735016223351691
