start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-01,2020-07-02,0.010796058002044197,1,1,1.0796058002044198
2020-07-03,2020-07-16,0.0515192997870892,8,6,5.15192997870892
2020-07-17,2020-10-02,0.13360314129217396,53,57,13.360314129217397
2020-10-06,2020-10-19,0.027379300016985488,9,11,2.737930001698549
2020-10-22,2020-11-10,0.07384237180766887,12,11,7.3842371807668865
2020-11-12,2020-11-18,0.05084742335454653,4,1,5.084742335454653
2020-11-19,2020-12-07,0.053117790619181496,12,7,5.311779061918149
2020-12-09,2020-12-11,0.029227517513442998,2,1,2.9227517513443
2020-12-14,2020-12-22,0.007291772966545358,6,5,0.7291772966545358
2020-12-23,2020-12-29,0.01683163833068656,4,4,1.683163833068656
2020-12-31,2021-01-08,0.016682917892653398,5,3,1.6682917892653397
2021-01-11,2021-01-12,0.013698705048904415,1,1,1.3698705048904416
2021-01-14,2021-01-15,0.012380880711852461,1,1,1.238088071185246
2021-01-20,2021-01-26,0.039383511729462535,4,4,3.9383511729462537
2021-01-27,2021-02-11,0.05907183471990501,11,15,5.907183471990501
2021-02-12,2021-03-01,0.04873947638251752,11,5,4.873947638251752
2021-03-02,2021-03-03,0.00335005653549943,1,1,0.335005653549943
2021-03-04,2021-03-08,0.009958529229722691,2,3,0.9958529229722691
2021-03-09,2021-03-10,0.0031999735228477985,1,1,0.3199973522847799
2021-03-11,2021-03-12,0.006250048305454687,1,1,0.6250048305454687
2021-03-17,2021-03-31,0.16315787541654558,10,9,16.315787541654558
2021-04-02,2021-04-05,0.004101651936761403,1,3,0.41016519367614035
2021-04-06,2021-04-07,0.002456903556660562,1,1,0.2456903556660562
2021-04-12,2021-04-13,0.018459062881747146,1,1,1.8459062881747146
2021-04-20,2021-05-10,0.058653117618219903,13,19,5.8653117618219905
2021-05-11,2021-11-08,0.22246065761293063,119,123,22.246065761293064
2021-11-16,2021-11-18,0.03762130992314945,2,2,3.7621309923149453
2021-11-25,2021-11-26,0.005696597954807683,1,1,0.5696597954807683
2021-12-06,2021-12-07,0.028665003400766827,1,1,2.8665003400766826
2021-12-10,2021-12-16,0.021385723779308547,4,6,2.1385723779308545
2021-12-17,2022-03-03,0.20514815246804718,54,9,20.51481524680472
2022-03-04,2022-03-07,0.009153357594815701,1,3,0.9153357594815701
2022-03-11,2022-03-18,0.05498285453473105,5,2,5.4982854534731045
2022-03-21,2022-03-22,0.0013680195203820307,1,1,0.13680195203820306
2022-03-23,2022-04-01,0.035533033379550216,7,3,3.553303337955022
2022-04-05,2022-05-09,0.0721428832998113,21,13,7.21428832998113
2022-05-12,2022-05-30,0.0866527259017362,11,10,8.66527259017362
2022-05-31,2022-11-07,0.2353351641143857,110,116,23.53351641143857
2022-11-08,2022-11-22,0.0767729958715148,10,13,7.67729958715148
2022-11-29,2022-11-30,0.0068535842442959734,1,1,0.6853584244295974
2022-12-02,2022-12-05,0.006765069333676633,1,3,0.6765069333676632
2022-12-07,2022-12-13,0.05699183148416499,4,5,5.699183148416499
2022-12-14,2023-01-04,0.055781468221743194,15,7,5.578146822174319
2023-01-05,2023-02-20,0.13683016695261432,28,40,13.683016695261433
2023-02-23,2023-02-28,0.04795156441841564,3,1,4.795156441841564
2023-03-02,2023-03-03,0.05903758966525531,1,1,5.9037589665255314
