start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-03,2020-07-06,0.01426000661458611,1,3,1.426000661458611
2020-07-07,2020-07-08,0.0005934843381050201,1,1,0.05934843381050201
2020-07-09,2020-07-20,0.05526478121926103,6,10,5.526478121926103
2020-07-21,2020-07-24,0.011560701791158022,3,3,1.1560701791158023
2020-07-28,2020-12-24,0.1714287275918505,104,55,17.14287275918505
2021-01-05,2021-01-07,0.016933086034972324,2,1,1.6933086034972324
2021-01-12,2021-01-25,0.07422846735689609,9,11,7.422846735689609
2021-01-26,2021-02-01,0.06353142716272143,4,5,6.353142716272144
2021-02-02,2021-02-05,0.022562431292493832,3,3,2.256243129249383
2021-02-10,2021-02-12,0.005818303516621966,2,1,0.5818303516621967
2021-02-16,2021-02-18,0.043039757175035644,2,1,4.3039757175035644
2021-02-19,2022-04-04,0.3905325601932926,280,195,39.05325601932926
2022-04-06,2022-04-11,0.02754649943140976,3,4,2.754649943140976
2022-04-14,2022-04-18,0.01582640959312522,2,4,1.582640959312522
2022-04-19,2022-04-20,0.016733869478023043,1,1,1.6733869478023042
2022-04-21,2022-05-05,0.0507788891650318,7,9,5.07788891650318
2022-05-10,2022-05-26,0.05866801597903839,11,14,5.866801597903839
2022-05-31,2022-06-01,0.0015189161613648884,1,1,0.15189161613648883
2022-06-03,2022-06-07,0.015732575495866874,2,4,1.5732575495866874
2022-06-08,2022-10-17,0.27956996297477366,89,62,27.956996297477367
2022-10-18,2022-11-07,0.08317315500460926,14,10,8.317315500460925
2022-11-08,2022-11-09,0.020105440281869443,1,1,2.010544028186944
2022-11-15,2022-11-16,0.0024895099516300642,1,1,0.24895099516300642
2022-11-18,2022-11-21,0.032563411959627656,1,3,3.2563411959627655
2022-11-23,2022-11-24,0.007233837361782529,1,1,0.7233837361782529
2022-11-28,2022-11-29,0.02429028638376797,1,1,2.429028638376797
2022-12-02,2022-12-09,0.10943673507753464,5,2,10.943673507753465
2022-12-14,2022-12-15,0.03868310003471234,1,1,3.868310003471234
2022-12-16,2022-12-19,0.03184973675447951,1,3,3.184973675447951
2022-12-21,2022-12-22,0.017537299990709364,1,1,1.7537299990709365
2022-12-28,2023-09-11,0.4877507811216521,172,125,48.77507811216521
