symbol,annual_volatility,optimal_stop_loss,tight_stop_loss,wide_stop_loss,optimal_take_profit,conservative_take_profit,aggressive_take_profit,optimal_trailing_stop,avg_rally,avg_drawdown,max_rally,max_drawdown,risk_reward_ratio,mtf_signal,mtf_alignment
BIMAS,37.3009224654162,14.583008232459804,12.939140015385941,24.273995521912724,18.799114687420445,14.163619492738317,23.696652495297663,20,19.550922395891618,11.14581868017689,107.54573846521521,34.0740674765066,1.2891108876683042,INSUFFICIENT_DATA,-1.0
ASELS,44.991933356803386,15.294873828643189,13.383373253360515,22.333510091019203,26.31578702761287,20.197644644175604,32.71650255468938,15,24.68232414973797,13.31655343266966,88.78090417330714,57.70609306744849,1.7205625441859136,INSUFFICIENT_DATA,1.0
ARCLK,41.38093739055442,17.075768990556305,15.37687324591795,24.26117414111949,29.350072744367093,15.636365485913824,39.151964412400034,3,23.941988746288843,13.21727246000098,84.52381790360123,29.97532681383995,1.7188141137654795,INSUFFICIENT_DATA,1.0
EREGL,40.940101376436935,20.061658843538268,17.68360517776508,22.847165758529286,19.274814370198186,17.151476822740673,26.734616217961104,3,20.611863248109703,14.21196134598751,78.72341343253632,40.99478731117478,0.9607786933534901,INSUFFICIENT_DATA,1.0
AKBNK,46.802640491655104,19.754346964141927,15.3314457024956,24.73940759088294,28.70999266338938,18.618181457650536,42.6428562396929,20,27.683136690783197,14.64186101921356,124.48717262141164,36.836091031050465,1.4533506329267039,INSUFFICIENT_DATA,1.0
FROTO,44.47619578150667,17.300899334446076,14.900617713398372,19.075362122964652,29.898864975157323,16.279770799782597,34.75675739783004,20,23.580691886230845,12.830912275600838,97.03948620507045,25.876455354382603,1.7281682528276845,INSUFFICIENT_DATA,1.0
DOHOL,45.6152880068858,17.869585553251866,15.249956299298136,19.242704758679714,31.77500921002772,20.97569199867984,34.829065839693264,3,27.041370414131176,13.048583622559075,95.13423695906864,27.27272608754857,1.778161508857455,INSUFFICIENT_DATA,1.0
EKGYO,49.744669453431925,23.043850991405552,19.54288029025147,25.07946210608608,35.28480503307895,17.913077254267556,45.36929598279413,5,26.55566555493109,16.96265073094302,112.3015766566127,69.8275976844236,1.531202620874384,INSUFFICIENT_DATA,1.0
GARAN,45.64839569662991,17.039323375829923,12.35027779557826,24.473689084039925,33.2899056417274,17.857142857142858,38.03847874464027,20,26.845951714910722,12.95895633155582,119.45062341466475,37.043294795531224,1.9537105381161282,INSUFFICIENT_DATA,1.0
GUBRF,55.07494576938845,23.287677810075966,16.216463740527285,28.828967016159755,31.30902481259068,19.932945041107576,45.531403699806596,10,28.572910527902845,16.770374062552754,108.81503811059139,64.44726965781845,1.3444459798840092,INSUFFICIENT_DATA,-1.0
ISCTR,46.6204821397118,19.83805683647893,15.051908837648407,26.44426325408001,34.30851396896722,21.02177935738406,38.220419899947366,3,28.87418620282573,14.701761638466506,189.17051550397207,40.0796830989628,1.729429159910435,INSUFFICIENT_DATA,1.0
KCHOL,40.19186276190944,18.564437736415634,15.488699450543471,21.10654767713634,24.552007722120667,16.754944627307417,35.43391144563091,3,23.1824019013565,12.375122153484421,86.20539214257471,28.207851332429296,1.3225290240791907,INSUFFICIENT_DATA,-1.0
HALKB,47.62251372240583,20.239043213148335,15.519996643066406,24.629725017537687,20.931539852616208,16.897520717313725,26.09082740307358,3,22.649180517150008,13.829789862611719,233.25991721518693,53.8664906392738,1.0342158782989301,INSUFFICIENT_DATA,1.0
KOZAL,49.70463869831173,20.811960114166098,17.829080791315167,25.716171699819835,26.487629000899837,16.713876096185107,29.706665039062504,3,26.908907863256022,14.80924834863487,247.61408332740902,34.374999508985866,1.2727118856464883,INSUFFICIENT_DATA,-1.0
KOZAA,50.89826155513112,25.28530423332097,22.090590646098764,30.145633947474693,34.715463488141594,25.17712513291888,39.101975554942044,3,28.517654054709272,17.068192010979757,73.0570095657985,36.697618024220944,1.372950199364956,INSUFFICIENT_DATA,-1.0
KRDMD,49.89207345795446,25.704318797776967,19.595617296899228,28.0126087188915,27.42552562757412,20.828787693795043,37.835743840222854,3,27.11524873998809,16.029543734365117,75.4838782120944,32.76428050624516,1.0669617756976315,INSUFFICIENT_DATA,1.0
