symbol,first_date,last_date,total_days,days_after_2020,status
AKBNK,2020-06-29,2025-06-26,1248,1248,OK
ARCLK,2020-06-29,2025-06-26,1248,1248,OK
ASELS,2020-06-29,2025-06-26,1248,1248,OK
BIMAS,2020-06-29,2025-06-26,1248,1248,OK
DOHOL,2020-06-29,2025-06-26,1248,1248,OK
EKGYO,2020-06-29,2025-06-26,1248,1248,OK
EREGL,2020-06-29,2025-06-26,1249,1249,OK
FROTO,2020-06-29,2025-06-26,1249,1249,OK
GARAN,2020-06-29,2025-06-26,1248,1248,OK
GUBRF,2020-06-29,2025-06-26,1248,1248,OK
HALKB,2020-06-29,2025-06-26,1248,1248,OK
ISCTR,2020-06-29,2025-06-26,1248,1248,OK
KCHOL,2020-06-29,2025-06-26,1248,1248,OK
KOZAA,2020-06-29,2025-06-26,1248,1248,OK
KOZAL,2020-06-29,2025-06-26,1248,1248,OK
KRDMD,2020-06-29,2025-06-26,1248,1248,OK
PETKM,2020-06-29,2025-06-26,1248,1248,OK
PGSUS,2020-06-29,2025-06-26,1249,1249,OK
SAHOL,2020-06-29,2025-06-26,1248,1248,OK
SASA,2020-06-29,2025-06-26,1249,1249,OK
SISE,2020-06-29,2025-06-26,1248,1248,OK
TAVHL,2020-06-29,2025-06-26,1248,1248,OK
TCELL,,,0,0,NO_FILE
THYAO,2020-06-29,2025-06-26,1248,1248,OK
TKFEN,2020-06-29,2025-06-26,1248,1248,OK
TOASO,,,0,0,NO_FILE
TUPRS,,,0,0,NO_FILE
VAKBN,,,0,0,NO_FILE
VESTL,,,0,0,NO_FILE
YKBNK,,,0,0,NO_FILE
AEFES,2020-06-29,2025-06-26,1249,1249,OK
ALARK,,,0,0,NO_FILE
ALBRK,,,0,0,NO_FILE
ALGYO,2020-06-29,2025-06-26,1249,1249,OK
ANHYT,,,0,0,NO_FILE
ANSGR,2020-06-29,2025-06-26,1248,1248,OK
AYGAZ,,,0,0,NO_FILE
BAGFS,,,0,0,NO_FILE
BRSAN,,,0,0,NO_FILE
CCOLA,,,0,0,NO_FILE
CEMTS,,,0,0,NO_FILE
CIMSA,,,0,0,NO_FILE
DOAS,2020-06-29,2025-06-26,1248,1248,OK
EGEEN,2020-06-29,2025-06-26,1248,1248,OK
ENKAI,2020-06-29,2025-06-26,1248,1248,OK
GENIL,,,0,0,NO_FILE
GLYHO,,,0,0,NO_FILE
GOZDE,,,0,0,NO_FILE
ISDMR,2020-06-29,2025-06-26,1248,1248,OK
AKSEN,2020-06-29,2025-06-26,1248,1248,OK
AYEN,,,0,0,NO_FILE
ZOREN,,,0,0,NO_FILE
ODAS,2020-06-29,2025-06-26,1248,1248,OK
QNBFB,,,0,0,NO_FILE
KLNMA,,,0,0,NO_FILE
YYAPI,,,0,0,NO_FILE
KUYAS,,,0,0,NO_FILE
ANELE,,,0,0,NO_FILE
TURSG,,,0,0,NO_FILE
