feature,importance
support_distance,0.13904000525982255
volatility_20,0.11458192339065285
squeeze_momentum,0.10043655171407272
resistance_distance,0.07955884509443602
wt_value,0.06932576329575399
adx_value,0.0691581381479864
distance_to_ma50,0.0593558878997391
macd_histogram_value,0.05501533842529683
returns_20,0.05466509896752733
price_position,0.04410625887683819
distance_to_ma20,0.03782149695775351
rsi_14,0.03515671364905554
di_diff,0.035145644123881124
returns_1,0.026861489380444838
returns_5,0.024608152882291748
lor_confidence,0.010979059129581675
tv_strength,0.009194103872433653
tv_confidence,0.009113168635801156
supertrend_signal,0.00862160905623368
lorentzian_signal,0.007984290248336544
squeeze_on,0.0068596709703828964
macd_signal,0.001269875941571274
candle_pattern,0.0011409140801063428
wavetrend_signal,0.0
trend_vanguard_signal,0.0
