feature,importance
support_distance,0.10916668824121788
resistance_distance,0.10196793673202662
squeeze_momentum,0.08872291467897797
volatility_20,0.08734257877160204
wt_value,0.0653755413632106
macd_histogram_value,0.06273981438165491
distance_to_ma50,0.06148008668421569
adx_value,0.05388225749224176
returns_20,0.052269690095484454
distance_to_ma20,0.051048275551352634
price_position,0.05089836579423984
rsi_14,0.05011708524086702
di_diff,0.04621187054967471
returns_5,0.037032189150009526
returns_1,0.024066456997331707
lor_confidence,0.02196506568742573
lorentzian_signal,0.009293785362679661
tv_strength,0.007353664473207883
tv_confidence,0.006510127234524306
supertrend_signal,0.006475333754389364
squeeze_on,0.003903152536114257
candle_pattern,0.0015057257412671198
macd_signal,0.0006713934862843792
wavetrend_signal,0.0
trend_vanguard_signal,0.0
